2025-10-12 21:19:29,107 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 21:19:29,900 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_211929_0
2025-10-12 21:19:29,902 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 21:19:29,906 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_211929_0
2025-10-12 21:23:02,908 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 21:23:02,912 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.vulnhub.com/
2025-10-12 21:23:02,913 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 21:23:04,128 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_212303_0
2025-10-12 21:23:04,129 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 21:23:04,132 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_212303_0
2025-10-12 21:28:27,273 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 21:28:27,277 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://owasp.org/www-project-mutillidae-ii/
2025-10-12 21:28:27,278 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 21:28:28,709 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_212828_0
2025-10-12 21:28:28,710 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 21:28:28,712 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_212828_0
2025-10-12 21:39:57,267 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 21:39:57,269 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://owasp.org/www-project-mutillidae-ii/
2025-10-12 21:39:57,270 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 21:39:57,994 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_213957_0
2025-10-12 21:39:57,995 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 21:39:57,998 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_213957_0
2025-10-13 19:37:54,605 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-13 19:37:54,607 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/
2025-10-13 19:37:54,607 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-13 19:37:55,381 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251013_193755_2
2025-10-13 19:37:55,382 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-13 19:37:55,384 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251013_193755_2
2025-10-13 19:41:54,673 | ERROR    | DistributedBridge | [DISTRIBUTED] Failed to get scan status: All connection attempts failed
2025-10-13 19:41:54,675 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system unavailable: All connection attempts failed
2025-10-13 19:41:54,676 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system unavailable: All connection attempts failed
2025-10-13 19:53:33,445 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-13 19:53:33,446 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/
2025-10-13 19:53:33,447 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-13 19:53:34,496 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251013_195334_0
2025-10-13 19:53:34,503 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-13 19:53:34,511 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251013_195334_0
2025-10-13 20:07:26,348 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-13 20:07:26,348 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-13 20:07:26,349 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-13 20:08:36,206 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-13 20:08:36,207 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/
2025-10-13 20:08:36,208 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-13 20:08:37,472 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251013_200836_0
2025-10-13 20:08:37,472 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-13 20:08:37,474 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251013_200836_0
2025-10-13 20:12:29,319 | INFO     | DistributedBridge | [DISTRIBUTED] Scan scan_20251013_200836_0: running - 95.0% - 0 findings
2025-10-13 20:14:31,192 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-13 20:14:31,193 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-13 20:14:31,194 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-16 19:45:45,746 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-16 19:45:45,750 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/
2025-10-16 19:45:45,750 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-16 19:45:46,900 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251016_194546_0
2025-10-16 19:45:46,911 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-16 19:45:46,924 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251016_194546_0
2025-10-19 15:37:53,024 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-19 15:37:53,028 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/
2025-10-19 15:37:53,030 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-19 15:37:53,984 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251019_153753_0
2025-10-19 15:37:54,015 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-19 15:37:54,044 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251019_153753_0
2025-10-19 16:04:37,418 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-19 16:04:37,422 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/login.php
2025-10-19 16:04:37,423 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-19 16:04:38,511 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251019_160438_0
2025-10-19 16:04:38,512 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-19 16:04:38,530 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251019_160438_0
2025-10-19 16:13:38,194 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-19 16:13:38,198 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/setup.php
2025-10-19 16:13:38,200 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-19 16:13:39,295 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251019_161339_0
2025-10-19 16:13:39,296 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-19 16:13:39,323 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251019_161339_0
2025-10-19 23:27:27,255 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-19 23:27:27,258 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://127.0.0.1:4280/setup.php
2025-10-19 23:27:27,259 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-19 23:27:27,990 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251019_232727_0
2025-10-19 23:27:27,991 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-19 23:27:27,994 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251019_232727_0
2025-10-20 08:14:37,912 | ERROR    | DistributedBridge | [DISTRIBUTED] Failed to get scan status: 
2025-10-20 08:14:38,168 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system unavailable: 
2025-10-20 08:14:38,209 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system unavailable: 
2025-10-20 16:52:34,957 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
